group,mouse_id,day,fmt_donor_recipient,fmt_donor_id,donor_number,sex,mouse_genotype.x,sample_type.x,treatment,treatment_no_cd,treatment_fmt_only,exp_id_number,experiment,sample_date.x,cdiff_cfu,pos_d1_cdiff,ever_pos_cdiff,lipocalin_2
1219.cec,1219,9,donor,1219,1,F,il10,cecal.contents,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,0,NA,no,NA
1219.col,1219,9,donor,1219,1,F,il10,colon.contents,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,NA,NA,NA,NA
1219.f.d7,1219,7,donor,1219,1,F,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210308,0,NA,no,NA
1219.f.d5,1219,5,donor,1219,1,F,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210306,0,NA,no,NA
1219.f.d3,1219,3,donor,1219,1,F,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210304,0,NA,no,NA
1219.f.d2,1219,2,donor,1219,1,F,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210303,0,NA,no,NA
1219.f.d1,1219,1,donor,1219,1,F,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210203,0,NA,no,NA
1219.f.d0,1219,0,donor,1219,1,F,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210103,NA,NA,no,889
1219.dn1,1219,-1,donor,1219,1,F,il10,feces,HhWT + VPI spores + control mAb,,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,2.28.2021,0,NA,no,
1219.inoc,1219,-1,donor,1219,1,F,il10,inoculum,HhWT + VPI spores + control mAb,,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,2.28.2021,0,NA,no,
1219.f.dn7,1219,-7,donor,1219,1,F,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212202,NA,NA,no,NA
1219.f.dn21,1219,-21,donor,1219,1,F,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210802,NA,NA,no,NA
1219.f.dn35,1219,-35,donor,1219,1,F,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212501,NA,NA,no,NA
1226.cec,1226,9,donor,1226,1,F,il10,cecal.contents,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,0,no,no,NA
1226.col,1226,9,donor,1226,1,F,il10,colon.contents,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,NA,no,NA,NA
1226.f.d7,1226,7,donor,1226,1,F,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210308,0,no,no,NA
1226.f.d5,1226,5,donor,1226,1,F,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210306,0,no,no,NA
1226.f.d3,1226,3,donor,1226,1,F,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210304,0,no,no,NA
1226.f.d2,1226,2,donor,1226,1,F,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210303,0,no,no,NA
1226.f.d1,1226,1,donor,1226,1,F,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210203,0,no,no,NA
1226.f.d0,1226,0,donor,1226,1,F,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210103,0,no,no,43.4
1226.dn1,1226,-1,donor,1226,1,F,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,2.28.2021,0,NA,no,
1226.inoc,1226,-1,donor,1226,1,F,il10,inoculum,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,2.28.2021,0,NA,no,
1226.f.dn7,1226,-7,donor,1226,1,F,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212202,NA,no,no,NA
1226.f.dn21,1226,-21,donor,1226,1,F,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210802,NA,no,no,NA
1226.f.dn28,1226,-28,donor,1226,1,F,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210102,NA,no,no,NA
1226.f.dn35,1226,-35,donor,1226,1,F,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212501,NA,no,no,NA
1226.f.dn14,1226,-14,donor,1226,1,F,il10,feces,HhWT + VPI spores + anti-p40,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20211502,NA,no,no,NA
1230.cec,1230,9,donor,1230,2,M,il10,cecal.contents,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(S) + VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,17000,yes,yes,NA
1230.col,1230,9,donor,1230,2,M,il10,colon.contents,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(S) + VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,NA,yes,NA,NA
1230.f.d7,1230,7,donor,1230,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(S) + VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210308,10000,yes,yes,NA
1230.f.d5,1230,5,donor,1230,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(S) + VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210306,28000,yes,yes,NA
1230.f.d2,1230,2,donor,1230,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(S) + VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210303,82000,yes,yes,NA
1230.f.d1,1230,1,donor,1230,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(S) + VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210203,1100,yes,yes,NA
1230.f.d0,1230,0,donor,1230,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(S) + VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210103,NA,yes,yes,2401.2
1230.dn1,1230,-1,donor,1230,2,M ,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(S) + VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,5.9.2021,NA,NA,yes,
1230.inoc,1230,-1,donor,1230,2,M ,il10,inoculum,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(S) + VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,5.9.2021,NA,NA,yes,
1230.f.dn7,1230,-7,donor,1230,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(S) + VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212202,NA,yes,yes,NA
1230.f.dn14,1230,-14,donor,1230,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(S) + VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20211502,NA,yes,yes,NA
1230.f.dn21,1230,-21,donor,1230,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(S) + VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210802,NA,yes,no,NA
1230.f.dn35,1230,-35,donor,1230,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(S) + VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212501,NA,yes,yes,NA
1231.cec,1231,9,donor,1231,2,M,il10,cecal.contents,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,0,no,no,NA
1231.col,1231,9,donor,1231,2,M,il10,colon.contents,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,NA,no,NA,NA
