label,group,numOtus,Acetatifactor,Actinomycetales_unclassified,Aerococcus,Akkermansia,Alistipes,Anaerofustis,Arthrobacter,Atopostipes,Bacillales_unclassified,Bacillus,Bacteria_unclassified,Bacteroidales_unclassified,Bacteroides,Bacteroidetes_unclassified,Barnesiella,Bifidobacterium,Blautia,Brachybacterium,Bradyrhizobium,Butyricicoccus,Clostridia_unclassified,Clostridiales_Incertae_Sedis_XIII_unclassified,Clostridiales_unclassified,Clostridium_IV,Clostridium_sensu_stricto,Clostridium_XlVa,Clostridium_XlVb,Coprobacillus,Coprobacter,Coriobacteriaceae_unclassified,Corynebacterium,Cupriavidus,Dorea,Enterobacteriaceae_unclassified,Enterorhabdus,Erysipelotrichaceae_unclassified,Escherichia/Shigella,Facklamia,Firmicutes_unclassified,Flavobacteriaceae_unclassified,Fusobacteriaceae_unclassified,Gammaproteobacteria_unclassified,GpIIa_unclassified,Helicobacter,Intestinimonas,Jeotgalicoccus,Ktedonobacter,Lachnospiraceae_unclassified,Lactobacillaceae_unclassified,Lactobacillales_unclassified,Lactobacillus,Lactococcus,Leuconostoc,Micrococcus,Ochrobactrum,Olsenella,Oscillibacter,Peptostreptococcus,Porphyromonadaceae_unclassified,Pseudoflavonifractor,Pseudomonas,Rhodobacteraceae_unclassified,Romboutsia,Ruminococcaceae_unclassified,Ruminococcus,Saccharopolyspora,Selenomonas,Staphylococcus,Streptococcus,Terrisporobacter,Turicibacter,Weissella
0.03,1219.f.d0,72,19,0,0,4681,59,0,0,0,0,0,87,77,8201,0,0,6314,65,0,0,25,2,0,97,18,0,274,139,0,0,19,0,0,1,499,180,545,1,0,30,0,0,0,0,16,0,0,0,3166,3,2,5153,0,0,0,0,993,118,0,6796,30,0,0,0,404,546,0,0,1,29,0,1336,0
0.03,1226.f.d0,72,67,0,0,2032,1208,1,0,0,0,0,28,6,6147,0,0,0,40,0,0,10,2,2,250,27,0,447,185,0,0,90,1,0,7,3,516,125,0,1,72,0,0,0,0,149,0,0,1,4937,5,0,2219,0,0,0,0,2,128,0,4040,81,0,0,0,907,0,0,0,20,15,0,42,0
0.03,1229.f.d0,72,22,0,0,2701,53,0,0,0,0,0,35,69,7551,0,1,0,45,0,0,65,1,0,125,25,0,119,352,0,0,15,0,0,4,162,274,275,0,0,27,0,0,0,0,818,0,0,0,4209,1,0,2057,0,0,0,0,32,44,0,4482,21,0,0,0,1115,0,0,0,0,4,0,104,0
0.03,1230.f.d0,72,29,0,0,2356,33,0,0,0,2,0,0,99,2843,0,0,0,12,0,0,63,0,0,81,26,0,155,93,0,0,19,0,0,1,1311,405,54,1,0,6,0,0,0,0,331,0,0,0,1543,5,2,7365,0,0,0,0,372,12,0,5602,35,1,0,0,133,0,0,0,0,17,0,152,2
0.03,1231.f.d0,72,1,0,0,3809,64,0,0,0,1,0,14,90,4279,0,0,1,3,0,0,4,0,0,45,9,0,10,26,0,0,15,0,0,0,67,211,56,0,0,3,0,1,0,0,38,0,0,0,582,9,2,2551,0,0,0,0,43,19,0,3299,2,0,0,0,119,0,0,0,2,12,0,63,0
0.03,1250.f.d0,72,12,0,1,1351,3941,0,0,0,0,0,32,34,6768,0,0,0,1,0,0,110,4,2,124,24,0,1169,216,0,1,150,0,0,2,0,428,19,0,0,51,0,0,0,0,140,0,0,0,6527,2,0,4817,0,0,0,0,0,233,0,8059,31,0,0,0,1869,31,0,0,35,8,0,0,1
0.03,1251.f.d0,72,31,0,0,3,1822,1,0,0,0,0,310,27,3949,0,1,0,14,0,0,0,0,3,131,17,0,299,61,0,0,85,0,0,1,0,314,83,0,0,137,0,0,0,0,64,0,0,0,5559,1,0,4071,0,0,0,0,4,154,0,5270,18,0,0,0,988,0,0,0,21,5,0,0,0
0.03,1278.d0,72,24,0,0,1328,13,0,0,0,0,0,15,17,5059,0,0,0,15,0,0,5,0,0,82,20,0,38,22,0,0,12,0,0,0,321,112,3757,0,0,9,0,0,0,0,201,0,0,0,2829,1,0,5699,0,0,0,0,203,11,0,1827,17,0,0,0,628,23,0,0,28,13,1,0,0
0.03,1279.d0,72,0,0,0,4,0,0,0,0,0,0,0,0,3505,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2651,5,18,0,0,1,0,0,0,0,4,0,0,0,4,0,0,14371,0,0,0,0,235,0,0,1,0,0,0,0,0,0,0,0,31,2,1,0,0
0.03,1280.d0,72,6,0,0,281,683,0,0,0,0,0,24,0,5175,0,0,0,36,0,0,0,0,0,59,7,1,77,15,0,0,32,0,0,1,136,289,3029,0,0,38,0,0,0,0,1,0,0,0,870,3,0,6624,0,0,0,0,313,15,0,1658,8,0,0,0,175,0,0,0,38,3,0,0,0
0.03,1281.d0,72,12,0,0,1665,141,0,0,0,0,0,7,15,8097,0,0,1,15,0,0,26,0,0,102,49,0,163,1077,0,0,3,0,0,0,836,100,1964,0,0,12,0,0,0,0,370,1,0,0,8648,0,0,10399,0,0,0,0,178,122,0,2172,210,1,0,0,1955,0,0,0,20,11,0,0,0
0.03,1283.d0,72,1,0,0,853,21,0,0,0,0,0,5,93,2875,0,0,2803,2,0,0,4,0,0,21,0,0,1,0,0,0,1,0,0,0,1256,33,447,0,0,0,0,0,0,0,63,0,0,0,143,1,1,9731,0,0,0,0,93,7,0,1184,5,2,0,4,99,2,0,0,36,54,2,0,0
