group,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,axis9,axis10,axis11,axis12,axis13,axis14,axis15,axis16,axis17,axis18,axis19,axis20,axis21,axis22,axis23,axis24
0215.d0,-0.161949,-0.316063,-0.082794,0.000668,0.176309,-0.045903,0.013344,0.027915,0.011906,0.021738,-0.037093,0.052683,0.007935,-0.013131,-0.000974,0.071474,-0.034616,0.00563,0.065432,-0.098223,-0.024936,-0.081797,-0.000013,-0.000002
0253.d0,-0.196445,-0.347384,0.056129,-0.134749,-0.085732,-0.075563,-0.122696,-0.097792,0.061013,-0.046291,0.008785,-0.018599,0.033136,0.038158,-0.025375,-0.053247,0.034621,0.004604,-0.021842,0.057221,0.001561,-0.063437,-0.000026,0
0255.d0,-0.279343,-0.071486,0.101639,-0.129689,-0.063518,0.051447,0.040796,-0.000818,0.003953,0.143678,0.076229,0.076799,0.065152,-0.072541,-0.036247,0.032237,0.00051,0.025325,0.015679,0.023767,-0.056874,0.057208,-0.000017,-0.000001
0289.d0,-0.25191,-0.034537,0.0923,-0.064358,-0.038603,0.060472,-0.011044,0.059034,0.002156,-0.18857,-0.105465,0.031685,-0.017213,-0.033951,-0.009482,0.044479,-0.012152,-0.014416,0.000662,-0.005859,-0.047856,0.066217,-0.000016,-0.000001
2049.d0,-0.186072,0.025312,-0.22111,-0.09072,-0.049511,-0.004753,0.125239,-0.015288,0.004329,-0.026873,0.018421,0.009894,-0.016404,-0.029751,0.052325,-0.097788,0.103498,-0.013946,-0.046498,-0.050584,-0.032015,-0.016772,0.00001,-0.000005
2050.d0,-0.260785,0.034007,-0.164288,0.039312,-0.068331,0.067526,-0.028393,-0.12483,0.003945,0.037574,-0.041433,-0.042129,0.017193,0.107486,-0.020381,0.124659,-0.028199,-0.000423,-0.042123,-0.008803,0.016477,0.023869,0.000007,-0.000005
2203.d0,-0.103586,0.223042,0.219185,-0.018284,-0.002636,-0.038738,0.160855,-0.056608,0.058629,-0.016496,-0.006556,0.009725,-0.006739,0.061807,0.03337,-0.051116,-0.111438,0.090814,-0.026468,-0.031198,0.016297,-0.013287,-0.00002,-0.000001
2221.d0,0.240997,0.10603,-0.234741,-0.077417,-0.082991,-0.013041,-0.043843,-0.025052,-0.075254,0.00726,0.002198,0.116711,-0.051713,0.035482,0.104499,0.020205,0.000535,0.010794,0.017321,-0.010458,0.032054,0.017566,-0.000038,0.000002
2223.d0,0.219135,0.080779,-0.222518,-0.002048,-0.028225,0.016112,0.097184,0.007235,0.087095,-0.001239,-0.016127,-0.139915,0.06803,-0.021122,-0.051095,0.002595,0.013513,-0.031208,0.062277,-0.01522,0.001098,0.022039,-0.000037,0.000002
2224.d0,-0.214094,0.31421,-0.140738,-0.040669,-0.05022,0.020371,-0.100858,0.071137,0.02261,-0.00753,0.011957,-0.001741,0.00236,-0.036394,0.000214,-0.050642,-0.095029,0.016964,0.104845,0.05821,0.015717,-0.039367,0.000006,-0.000005
2232.d0a,-0.317571,-0.220618,-0.054731,0.30585,-0.133341,-0.164285,0.033313,0.088167,-0.023146,0.007801,0.015854,0.006409,-0.000415,-0.010147,0.002415,-0.008787,-0.005666,0.014847,-0.015411,0.020131,0.020237,0.024926,-0.000015,-0.000001
2232.d0b,0.201921,-0.052179,0.09702,-0.035929,0.002137,-0.012069,0.173281,-0.004688,-0.056739,-0.023695,-0.003186,0.032195,-0.053376,0.036888,-0.047122,0.063281,0.052162,-0.03813,0.068938,0.108011,0.031242,-0.039072,-0.000005,-0.000003
2254.d0,-0.049676,-0.128281,-0.008254,0.201466,0.107287,0.207771,0.007618,-0.0711,0.028891,0.001738,0.013092,0.057463,-0.003066,-0.002022,0.027707,-0.085052,-0.033731,-0.093209,-0.006529,0.037521,-0.004558,-0.000038,-0.000019,-0.000001
2289.d0,-0.306214,0.198316,0.190912,-0.006591,0.093863,-0.094361,-0.065426,-0.060801,-0.003722,0.01163,0.026728,-0.01336,-0.025965,0.01071,-0.004633,-0.025443,0.071921,-0.073239,0.078711,-0.062259,0.065696,0.059091,-0.000011,-0.000002
2399.d0,-0.04093,0.264713,0.059826,0.035332,0.016422,0.004518,-0.007421,-0.042868,-0.127024,-0.015727,-0.041397,-0.013438,0.112241,-0.125628,-0.013485,0.026264,0.008568,-0.008253,-0.074952,-0.001374,0.040883,-0.059063,-0.000018,-0.000001
2401.d0,0.44127,-0.042866,0.047703,-0.035515,-0.085946,-0.102404,-0.02291,-0.046892,0.025004,0.035206,-0.003976,-0.012556,-0.105689,-0.083204,-0.034772,0.006041,-0.095201,-0.105578,-0.04715,-0.026936,-0.026946,0.002819,-0.000005,-0.000003
2441.d0,0.281673,-0.051808,0.102412,0.127134,-0.033183,0.068914,-0.053487,-0.078992,0.037952,0.004982,-0.016459,-0.045922,-0.074641,-0.090487,0.050385,0.026418,0.071872,0.133557,0.050649,-0.004201,-0.014178,-0.003165,-0.000007,-0.000003
2467.d0,0.054477,0.278098,-0.096063,0.043881,0.220354,-0.136414,-0.040607,-0.015091,0.006663,0.007222,-0.00725,-0.000814,-0.012153,0.03208,-0.006903,0.00476,0.024275,0.025773,-0.043854,0.076097,-0.096265,0.020371,-0.000015,-0.000001
2491.d0,0.38457,0.001872,0.139439,0.025157,-0.075587,0.005805,-0.041526,0.061628,-0.032272,0.080431,-0.145862,0.022473,0.085215,0.090097,-0.002066,-0.073694,0.031655,-0.011527,0.025205,-0.024581,-0.033003,0.000434,-0.000005,-0.000003
2495.d0,0.387765,0.000841,0.038665,0.056146,-0.02489,0.017444,-0.036305,0.002626,-0.053343,-0.10578,0.179214,0.011105,0.074962,0.058916,-0.043935,0.009955,-0.012458,0.014077,0.015155,-0.052427,-0.034202,0.001048,-0.000005,-0.000003
2559.d0,-0.058296,0.255512,0.093359,0.02234,-0.039105,0.0821,-0.043296,0.14326,0.108522,0.03004,0.040436,0.018707,-0.060736,0.035261,-0.019386,0.058542,0.067615,-0.025545,-0.0756,-0.019964,0.014379,-0.056021,-0.000021,0
2698.d0,-0.197875,-0.146421,0.062828,-0.076273,0.035065,0.073806,-0.00925,0.068096,-0.146521,0.040785,0.029355,-0.158184,-0.08167,0.039292,0.042975,-0.024788,-0.029378,0.002584,-0.012096,-0.00081,-0.025972,-0.004529,-0.00002,-0.000001
3109.d0,0.163709,-0.163535,-0.120274,-0.061701,0.110628,0.038724,-0.020398,0.041603,-0.013115,0.007333,-0.01978,0.032229,-0.041123,-0.009616,-0.142775,-0.061363,-0.005616,0.084563,-0.053407,-0.007471,0.081455,0.043378,-0.000009,-0.000002
3146.d0,0.24923,-0.207552,0.04411,-0.08334,0.099807,-0.027478,-0.004169,0.070115,0.068419,-0.005217,0.022317,-0.03142,0.084679,-0.018183,0.144739,0.041011,-0.017192,-0.013772,-0.038933,0.039349,0.05971,0.037601,0,-0.000004
