group,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,axis9,axis10,axis11,axis12,axis13,axis14,axis15,axis16,axis17,axis18,axis19,axis20,axis21,axis22,axis23,axis24,axis25,axis26,axis27,axis28,axis29,axis30,axis31,axis32,axis33,axis34,axis35,axis36,axis37,axis38,axis39,axis40,axis41,axis42,axis43,axis44,axis45,axis46,axis47,axis48,axis49,axis50,axis51,axis52,axis53,axis54,axis55,axis56,axis57,axis58,axis59,axis60,axis61,axis62,axis63,axis64,axis65,axis66,axis67,axis68,axis69,axis70,axis71,axis72,axis73,axis74,axis75,axis76,axis77,axis78,axis79,axis80,axis81,axis82,axis83,axis84,axis85,axis86,axis87,axis88,axis89,axis90,axis91,axis92,axis93,axis94,axis95,axis96,axis97,axis98,axis99,axis100,axis101,axis102,axis103,axis104,axis105,axis106,axis107,axis108,axis109,axis110,axis111,axis112,axis113,axis114,axis115,axis116,axis117,axis118,axis119,axis120,axis121,axis122,axis123,axis124,axis125,axis126,axis127,axis128,axis129,axis130,axis131,axis132,axis133,axis134,axis135,axis136,axis137,axis138,axis139,axis140,axis141,axis142,axis143,axis144,axis145,axis146,axis147,axis148,axis149,axis150,axis151,axis152,axis153,axis154,axis155,axis156,axis157,axis158,axis159,axis160,axis161,axis162,axis163,axis164,axis165,axis166,axis167,axis168,axis169,axis170,axis171,axis172,axis173,axis174
1218.f.dn21,0.139647,0.487192,0.029847,-0.098513,-0.092218,-0.204857,-0.016607,0.048823,0.04608,-0.00037,-0.023911,-0.00452,0.018436,0.073427,0.004295,0.035539,0.004396,-0.054111,-0.012322,0.043603,-0.020221,-0.023949,0.028661,-0.022196,0.028332,-0.026635,-0.034477,0.065222,-0.041656,0.033416,0.004272,0.044624,0.049875,0.010726,-0.016948,0.06626,-0.0708,-0.032368,0.036183,0.009378,-0.015494,-0.00498,0.017853,0.018472,0.050742,-0.026952,-0.000456,0.00209,0.017693,-0.00464,0.014799,-0.010197,0.014518,0.004118,-0.025297,0.015579,-0.00509,0.020378,-0.030363,0.009185,0.025145,-0.058423,0.036282,-0.117337,-0.03326,0.03254,-0.040831,0.002729,0.041523,-0.043544,0.08264,0.060522,-0.049861,-0.033436,0.028919,0.055872,-0.023213,-0.011379,0.060837,-0.000987,0.00573,0.003249,0.039062,0.03692,-0.020442,0.042814,0.057765,-0.040619,0.023764,0.093621,-0.064392,-0.037488,-0.005355,-0.031548,0.051765,-0.035969,0.02047,-0.020584,0.037303,0.002117,-0.005996,-0.026114,0.030848,0.013816,0.036071,0.061299,0.039089,0.069795,-0.005026,0.010671,-0.022634,0.059813,0.056294,0.048988,0.124821,-0.033501,0.000886,0.005809,-0.060571,0.004128,-0.037262,-0.037884,0.020753,0.064752,0.000877,-0.037269,0.016435,0.039334,0.019039,-0.012977,-0.011717,-0.03045,-0.015775,0.001827,-0.012183,0.012807,-0.004099,-0.027793,-0.077695,0.035053,0.027026,0.023375,0.025196,0.000188,0.051881,-0.038914,0.010269,-0.009451,-0.032468,0.016999,0.01712,0.01782,-0.015898,-0.037029,0.002778,0.004522,-0.041736,-0.017221,0.039375,-0.020346,0.014425,-0.013459,-0.019564,0.041292,0.019157,0.037694,0.033409,0.061801,-0.009509,-0.034864,0.06771,0.001099,-0.000044,-0.000011
1218.f.dn35,-0.029416,-0.14415,-0.218174,-0.042808,0.031894,0.032053,0.013335,0.044151,-0.032226,-0.023354,-0.065525,0.016315,0.013543,0.011555,-0.030861,0.011518,-0.036435,-0.01027,-0.000726,-0.020021,0.000569,-0.084482,0.00473,-0.056391,0.06029,0.044073,-0.010583,0.017721,-0.005011,-0.022707,0.048225,-0.057146,-0.00899,-0.055147,-0.036487,-0.023168,-0.086983,-0.02058,-0.09696,-0.028858,-0.062275,0.022046,-0.13523,-0.024716,-0.137188,-0.121648,0.05316,0.050659,-0.089746,0.04099,-0.016657,0.047381,-0.024103,-0.019063,0.079315,0.122976,0.121501,-0.039712,-0.077926,-0.019837,-0.017911,-0.12219,0.016635,-0.032669,0.05539,-0.043997,-0.006543,-0.044371,-0.04007,0.034205,-0.062063,-0.015103,-0.011713,0.04034,-0.034872,0.029375,-0.004202,0.017956,0.015879,-0.02774,-0.020185,0.001318,-0.004686,0.005545,-0.032921,-0.007165,-0.027172,0.006519,0.00702,0.017637,0.0072,-0.030124,-0.010279,-0.041602,0.001885,-0.032054,0.035233,0.017312,-0.040695,0.029664,-0.003041,-0.038864,0.010662,0.0016,-0.009383,-0.000291,0.005694,-0.030019,0.006748,-0.071549,-0.026593,-0.040185,0.030383,0.025327,-0.002509,-0.002072,0.004408,0.04643,0.000885,-0.018825,-0.002615,-0.000971,-0.006286,0.020884,0.01034,-0.019527,0.027857,0.00701,-0.029049,-0.003624,-0.014877,0.011185,0.021283,0.01953,-0.030315,0.013992,0.003029,-0.026012,-0.035126,-0.007168,0.010513,0.011252,-0.017218,0.005433,-0.021062,0.029483,0.001874,0.01268,-0.01128,-0.009601,-0.002235,0.0309,-0.04292,0.024395,-0.026314,-0.009936,0.013677,-0.03297,0.013846,0.022903,-0.003095,0.019436,0.022846,0.007934,-0.013965,0.02254,0.010297,-0.01814,0.056266,-0.023065,-0.012622,0.016057,-0.000061,-0.000012
1219.f.d0,0.182624,0.341397,0.001415,-0.08046,-0.042714,0.048023,-0.213833,0.150128,0.117511,-0.06945,-0.053369,-0.08129,0.037645,0.176572,-0.069784,0.023539,0.027876,-0.01969,-0.001868,-0.007177,0.005593,-0.014857,-0.053803,0.045205,0.043091,-0.050934,0.014516,0.022466,0.028911,0.051782,0.010322,-0.022194,-0.013111,0.000769,-0.023761,-0.003841,-0.008259,-0.025572,0.014196,-0.024909,-0.011696,-0.023547,-0.00618,0.016175,0.043051,-0.002354,0.008643,-0.020968,-0.000788,-0.004709,-0.008803,-0.008479,-0.004079,0.005001,0.033579,-0.010264,-0.004515,-0.048442,-0.047181,0.031373,0.027764,-0.007653,-0.004925,0.008936,0.029965,-0.018169,0.001836,-0.051102,-0.006744,0.020457,0.016976,0.0004,-0.008217,0.03497,-0.024312,-0.040432,0.042946,0.015181,-0.032581,0.064723,0.02768,0.034968,0.019059,0.041964,-0.015032,-0.060978,-0.10726,0.080507,-0.111564,-0.011925,0.083948,-0.017389,0.029687,-0.040143,-0.043373,0.067556,0.018682,0.010731,0.017338,0.002295,-0.104166,0.035251,0.01965,0.021438,-0.039891,0.002112,-0.007111,0.049511,0.035168,0.023295,-0.045121,0.000147,-0.047402,-0.013562,0.028407,-0.049742,-0.004354,0.024174,-0.025975,0.037211,0.005698,-0.048128,0.025575,-0.020485,0.006019,-0.042657,0.00575,-0.042674,-0.057864,-0.028074,-0.005285,0.066915,-0.013741,-0.000451,0.005379,-0.059042,0.035258,-0.032116,0.044067,0.019722,-0.033063,-0.067118,0.047469,0.029995,0.021601,0.002552,0.008944,-0.002965,-0.01231,-0.041461,0.042939,0.024739,-0.016705,0.029178,0.018678,0.076125,0.011819,-0.013519,0.012557,-0.027411,0.024576,-0.054194,-0.040253,0.080892,0.071021,-0.015358,0.007926,-0.062398,-0.053821,-0.02045,-0.016319,0.000874,0.000022,-0.000006
1219.f.dn21,0.264222,0.233271,-0.055295,-0.056333,-0.224417,-0.199169,0.004527,0.010336,-0.023384,0.077064,0.014739,-0.001666,0.088256,0.048759,0.028491,0.036444,-0.018183,0.01714,0.015168,0.069413,-0.017921,-0.058317,-0.091355,0.10667,0.030055,0.007109,-0.007504,0.045491,-0.014181,-0.010041,0.015395,-0.01747,0.008588,0.013858,0.023502,0.025551,0.019217,0.024464,0.006463,0.016545,0.000483,0.010621,-0.023114,0.012687,-0.026509,-0.007109,0.027653,0.031289,0.008756,0.058887,-0.044102,0.018321,-0.014543,-0.017541,0.004552,0.011204,-0.009484,0.059283,0.043549,0.011525,0.002806,0.057361,0.033453,-0.030593,0.057536,0.066682,-0.027537,0.042156,-0.063348,-0.085631,-0.039995,-0.000629,-0.020571,0.06389,-0.026143,-0.004407,-0.052185,0.05675,0.009792,-0.024292,-0.00453,-0.005077,-0.073891,-0.116059,-0.066066,-0.026876,0.01719,-0.002674,-0.015237,-0.043102,0.001034,0.03457,0.057522,0.016875,0.02645,0.026802,0.04623,-0.003879,0.003882,-0.013778,-0.008809,0.024408,-0.000053,-0.018569,0.040784,0.032779,0.053513,-0.006322,0.007673,0.034065,-0.008804,0.038126,0.066634,0.039545,0.021263,0.016065,-0.053327,-0.050916,0.019894,-0.089749,0.048721,-0.01146,-0.009682,-0.045757,-0.015815,-0.049116,0.019708,-0.047936,0.021155,-0.019667,0.040857,-0.000613,-0.011539,0.045612,0.015887,-0.000392,0.008989,0.04836,0.067357,0.005601,0.031095,-0.078372,-0.027881,0.057534,0.057381,0.025127,-0.060739,0.055943,0.006109,-0.075682,0.024207,-0.025893,-0.021256,0.006645,0.026102,-0.023468,0.016798,-0.007433,-0.015303,0.066089,-0.025004,-0.052404,0.018347,-0.04364,-0.071667,0.013557,0.01843,0.003311,-0.013475,-0.025991,-0.022236,-0.00908,0.000014,-0.000007
1219.f.dn35,-0.020348,-0.170274,-0.230879,-0.088553,0.016204,0.087892,0.031037,0.119221,0.002946,0.009759,-0.060545,0.102306,-0.019175,0.056259,-0.02395,0.137632,0.000609,0.004917,0.03855,-0.060255,-0.027375,-0.128613,-0.019959,0.078154,0.040588,0.009234,-0.032856,-0.01525,0.014972,0.091856,-0.037471,0.010314,-0.02253,-0.011997,-0.015583,-0.027055,-0.035971,-0.082709,-0.034166,0.000582,-0.007766,-0.011415,0.018643,0.039458,0.069624,-0.002466,-0.012265,-0.03476,0.01623,-0.036668,0.018121,-0.014028,0.000216,-0.046958,-0.064652,-0.025933,-0.067288,0.0395,0.01289,-0.033439,0.011954,0.001644,-0.038628,0.018811,-0.027218,0.034984,0.030238,0.03888,0.035557,-0.047551,-0.001042,-0.010436,-0.047329,-0.052522,0.016285,0.0076,-0.009403,-0.054787,0.021925,0.034614,-0.008566,0.060003,-0.014777,0.034129,0.056757,-0.065353,-0.020032,-0.064459,0.000053,-0.02297,0.014803,0.005065,0.021045,0.042737,-0.082365,0.039345,-0.0251,-0.122264,-0.029256,-0.038098,0.094269,-0.033678,-0.028873,-0.018121,-0.039736,0.050974,0.022764,-0.038592,-0.01019,0.041014,0.066495,0.000618,0.046871,0.049494,-0.048879,-0.01245,-0.064895,0.030733,0.003436,-0.041373,-0.005237,0.064605,-0.031021,-0.00842,0.001445,-0.054431,-0.002291,-0.002001,-0.039248,-0.003132,-0.017478,0.005055,0.067032,0.013191,0.008332,0.008234,0.055976,-0.059628,-0.032616,-0.019941,-0.020823,0.028257,0.016273,0.034397,-0.028779,0.039985,0.034217,0.014097,-0.022604,0.017781,0.020499,0.051242,-0.023826,0.038081,0.001824,0.004693,0.011395,-0.015881,-0.023949,0.043415,0.000707,-0.008993,0.039049,0.020775,0.006525,0.044491,-0.032353,0.00516,0.060345,-0.035214,-0.018005,0.016608,-0.000002,-0.000008
1226.f.d0,-0.152276,0.363309,-0.006347,0.064639,-0.023719,-0.143738,0.109513,-0.101693,0.139574,0.007838,-0.035013,-0.067969,-0.051777,-0.072913,-0.078758,0.014682,0.070658,0.046727,0.011979,0.018297,0.001091,0.058112,-0.068402,-0.036307,0.119247,0.000864,-0.038223,-0.005532,0.002518,0.054856,-0.038923,-0.010619,0.033147,-0.048933,0.010861,0.002786,0.015511,0.0277,0.009251,0.043795,-0.00306,0.017225,-0.000061,-0.024485,-0.020851,-0.032863,-0.005708,0.029096,-0.016218,0.001478,-0.026376,-0.002207,-0.007889,0.010552,0.008006,0.004204,-0.019759,-0.005114,0.010662,0.00316,-0.006964,-0.000512,-0.025055,-0.009215,-0.018486,-0.026228,0.001485,0.000498,0.018897,0.011184,0.001572,-0.003074,-0.005027,-0.001309,0.022285,-0.013699,0.001441,-0.013406,-0.006717,0.012418,0.005221,-0.000167,0.009878,-0.029043,-0.001028,-0.030075,0.009909,-0.022358,-0.005366,0.009127,0.010347,0.041724,0.041617,0.036937,0.011513,-0.037393,-0.054747,-0.057193,-0.026179,0.052,-0.007999,0.007759,0.007142,-0.038191,0.040159,-0.021367,-0.008881,-0.029214,0.018978,-0.00314,-0.033453,0.100447,0.008615,-0.056126,-0.040684,0.002915,0.038699,0.013771,0.033639,0.09738,-0.01328,-0.040106,-0.014944,-0.028453,0.009774,-0.0054,0.122248,-0.05236,-0.027172,0.057125,-0.039554,-0.021805,-0.01,-0.021721,0.035933,0.000991,0.048157,0.027538,0.041112,0.048997,-0.055953,0.026174,0.002882,0.071825,0.038613,0.01866,-0.045964,-0.049729,0.066792,0.021904,-0.076629,0.08097,0.039756,-0.028498,0.015339,-0.031524,0.075841,-0.043441,-0.059226,0.041034,-0.037961,0.041092,-0.072719,0.073572,-0.007435,-0.006998,-0.027488,0.006944,0.082296,0.017463,0.034648,0.008982,0.000024,-0.000006
1226.f.dn21,0.269216,0.290967,0.017739,0.025285,0.01615,-0.070866,0.024551,0.109431,-0.025509,0.081898,-0.016797,0.16106,-0.041014,-0.124255,0.013137,0.023794,-0.01249,-0.006387,-0.015423,0.035696,0.011987,-0.03653,-0.026257,-0.003493,0.031193,0.005147,-0.029876,0.002471,0.003165,0.002587,-0.015382,0.029084,0.020266,0.023706,-0.009888,0.006718,-0.020528,0.007094,-0.008922,0.020667,0.002032,-0.002021,-0.011943,-0.011102,-0.014511,-0.009791,-0.018463,-0.000706,0.010457,0.016075,0.008947,-0.009804,0.003948,-0.015078,0.025047,0.016115,-0.007077,-0.0019,0.009933,0.019871,-0.041499,-0.051423,-0.033161,-0.048246,-0.054406,0.03651,0.036487,0.006636,-0.08522,0.053388,0.000062,-0.027922,0.000832,-0.039481,-0.081288,-0.049227,-0.010897,-0.019165,0.08321,-0.091663,0.016863,-0.098108,0.011498,0.038413,0.046637,-0.027423,0.035223,0.01683,-0.055642,-0.039204,-0.060795,0.037793,0.007842,0.020349,0.024,-0.000682,0.057398,-0.031321,-0.023312,-0.011404,-0.018555,0.020532,-0.004386,-0.017874,0.068467,-0.030472,-0.03999,0.0389,0.018865,0.067589,0.022077,0.00085,-0.0516,0.030328,0.018141,0.003072,0.012622,-0.017056,-0.01143,0.045593,-0.03473,0.032687,-0.003951,-0.017518,0.054249,0.047688,-0.015356,-0.018472,-0.002189,0.00004,-0.005014,0.094632,0.024586,-0.047335,0.077798,-0.039172,-0.023123,-0.074842,0.077522,-0.040897,-0.068688,0.065221,0.002525,-0.006175,0.001412,-0.0053,0.012385,0.017488,0.04323,-0.016743,0.001366,0.009325,-0.004106,0.119341,-0.061264,0.029476,-0.03262,0.080013,0.048388,-0.004438,-0.046583,0.024374,0.003367,-0.007403,-0.035682,-0.065204,0.008726,0.042284,-0.034678,-0.047423,-0.00436,0.011811,0.000017,-0.000007
1226.f.dn35,-0.313529,0.092851,-0.076693,-0.090514,0.214298,-0.029019,0.076011,-0.033508,0.120221,-0.018683,-0.013271,-0.031408,-0.07463,0.006645,0.019765,0.023731,-0.007073,0.050551,0.025878,0.012833,0.080359,-0.054503,-0.087037,-0.071636,-0.046581,0.003776,-0.139548,0.004317,-0.026165,0.003592,0.054166,0.040018,0.009885,0.042092,-0.023353,0.065171,-0.067256,0.058431,-0.010497,0.010916,0.004485,0.001618,0.003644,0.015615,0.021871,-0.039079,-0.009714,0.001386,-0.002314,0.010951,0.009542,-0.009501,0.008075,-0.049162,-0.025271,0.002843,-0.004798,-0.023574,-0.035981,-0.015018,-0.041218,-0.01473,-0.011625,-0.006747,0.002766,-0.032599,-0.004884,-0.015442,-0.005534,0.009348,-0.007454,-0.044362,0.022236,0.03205,0.0033,0.02275,-0.026083,-0.047382,-0.052182,-0.008215,0.008327,-0.018145,-0.038389,-0.019329,0.031869,-0.021229,0.029467,-0.026244,0.005922,-0.011191,-0.012855,-0.055475,-0.025276,0.01587,-0.011401,0.012848,0.022345,0.057913,0.069256,-0.056266,0.050013,0.004,0.028348,0.023154,-0.062296,-0.09165,0.057628,-0.037913,0.022672,0.076432,0.03891,0.002022,-0.013737,-0.05921,-0.057854,-0.044212,-0.026966,-0.019257,0.007226,0.078861,0.044727,0.039092,-0.002436,0.018047,0.035881,-0.015114,-0.04453,0.066709,-0.032499,-0.041195,0.096943,0.05077,0.034435,0.107124,0.048921,0.01977,0.001452,0.011692,-0.063107,0.041233,0.010995,-0.050226,-0.011862,-0.021764,0.05266,-0.045941,-0.019921,0.030522,-0.02448,-0.052341,-0.011185,0.022894,-0.015481,-0.010577,-0.039049,0.013672,0.045729,0.00811,-0.030853,0.018205,-0.053355,-0.00024,-0.071204,-0.033163,0.03507,0.016325,0.023255,0.014854,-0.029487,0.037611,0.019352,-0.003851,0.000047,-0.000004
1227.f.dn21,0.381091,0.099539,0.009978,-0.225187,-0.040078,0.026644,0.129467,-0.05373,-0.029682,0.08911,-0.053502,0.083875,0.032616,-0.100741,-0.017561,-0.042169,-0.042723,-0.01145,-0.022146,0.113127,0.014844,-0.076284,-0.076282,0.187184,-0.005744,-0.033048,0.00329,0.004919,-0.007291,0.006119,0.031272,-0.015033,0.001686,-0.019133,0.017956,0.035607,-0.020593,0.022424,0.019324,0.002066,-0.00551,0.007695,-0.004944,-0.013626,-0.023171,0.010728,0.012898,0.011354,0.009252,0.005963,0.001485,-0.003447,0.003765,0.003698,-0.007556,-0.020763,0.015595,0.000729,-0.006393,-0.02138,-0.018505,-0.008312,0.002342,0.012732,-0.005041,-0.016429,0.026898,0.002915,0.041729,0.049244,-0.014043,0.006094,0.035975,0.007684,0.00935,-0.020534,0.027663,-0.02039,-0.042087,0.025241,0.024384,0.070822,-0.003042,0.06512,0.020295,0.005382,0.004425,-0.013353,0.077644,0.001861,0.005726,0.0079,-0.033896,-0.005855,-0.041288,-0.09141,-0.059347,0.102628,0.002367,-0.009974,-0.009341,-0.05107,0.052244,-0.062933,0.018792,-0.002433,0.003868,0.006893,0.002501,-0.03042,0.018489,0.036382,0.001218,0.017609,-0.022086,0.007957,-0.003967,-0.021457,0.05939,-0.012594,-0.097695,-0.064186,0.056805,0.004431,-0.025583,0.023212,-0.057201,0.093665,0.010226,-0.025399,-0.033993,-0.02687,0.073247,-0.049709,0.02103,0.030825,0.007516,-0.033462,0.06629,0.036679,0.022249,0.023884,0.019616,0.066895,-0.004199,-0.054194,-0.009055,-0.007945,-0.003958,-0.031561,0.019362,0.021888,0.03072,-0.007751,0.022926,0.056409,0.070096,0.033284,0.068836,-0.004499,-0.013579,-0.06403,0.053693,-0.013112,0.0227,-0.036027,0.046468,-0.05387,0.040386,0.037004,0.008736,-0.000711,0.00003,-0.000006
1227.f.dn35,-0.233973,0.084707,0.040491,-0.331525,0.301777,0.077831,0.241496,-0.198571,0.068176,0.133118,0.009609,-0.029461,0.00214,0.126402,-0.067697,0.038969,-0.04548,0.033741,0.071435,-0.045123,0.048495,0.000055,-0.045774,0.045916,0.058612,0.009011,-0.006143,-0.015605,0.041776,-0.057822,-0.036873,-0.083247,0.009183,0.106082,-0.026887,0.017359,0.013386,-0.049731,-0.028066,-0.019374,-0.007055,-0.013757,0.006045,0.019226,0.014245,-0.001211,-0.00392,-0.013138,0.003979,-0.014646,0.016277,0.005866,0.018418,0.007435,-0.004357,-0.004939,-0.003018,-0.030479,0.00469,-0.007022,0.026582,-0.009051,-0.011273,-0.00985,0.017107,-0.001872,0.004402,0.002313,0.023777,0.03428,-0.019193,0.006535,-0.01941,0.021948,0.026591,-0.026995,-0.011801,-0.00757,0.014706,-0.006103,-0.039955,-0.021189,0.012911,-0.012283,0.010721,0.035496,0.012413,0.037261,-0.01041,0.01771,-0.007897,-0.019655,-0.030848,-0.042654,-0.063407,0.032649,0.05933,0.048772,0.028159,0.041636,0.089127,-0.025132,-0.023491,0.042596,0.003539,-0.046339,-0.028009,-0.03659,0.028108,0.000976,-0.079881,0.025887,0.061914,-0.001208,0.010764,0.012014,-0.064357,0.01571,0.009237,-0.04152,-0.005545,-0.040269,-0.026695,-0.000223,0.009001,0.032783,0.019061,-0.00336,0.024592,0.021819,-0.044543,-0.047937,-0.036184,-0.03066,0.046903,-0.006979,0.035026,0.004059,0.040087,0.004294,-0.011088,0.000885,0.052102,-0.037387,0.015926,0.027554,-0.002279,0.05609,-0.009146,-0.001617,-0.014023,-0.007676,0.006301,-0.020819,-0.040203,-0.044396,-0.049391,-0.005415,0.040264,-0.038511,0.021499,-0.045974,0.021034,0.089728,-0.072916,-0.052615,-0.051439,0.0697,-0.051047,0.049421,-0.023239,0.008757,0.00002,-0.000006
