axis,loading
1,21.176423
2,6.482349
3,4.953481
4,2.85247
5,2.243982
6,1.848252
7,1.652365
8,1.600289
9,1.378377
10,1.341097
11,1.174904
12,1.071789
13,0.981473
14,0.967311
15,0.850869
16,0.734197
17,0.648388
18,0.607373
19,0.542775
20,0.493806
21,0.485182
22,0.46472
23,0.461048
24,0.436623
25,0.42532
26,0.398837
27,0.385866
28,0.376472
29,0.368226
30,0.365407
31,0.357161
32,0.354976
33,0.352735
34,0.34905
35,0.348969
36,0.346408
37,0.343742
38,0.341659
39,0.339208
40,0.337622
41,0.337471
42,0.336588
43,0.335713
44,0.335265
45,0.335106
46,0.334719
47,0.334029
48,0.333111
49,0.333036
50,0.332451
51,0.332108
52,0.331317
53,0.331139
54,0.330663
55,0.330464
56,0.329875
57,0.32958
58,0.32942
59,0.328475
60,0.328336
61,0.327926
62,0.327249
63,0.326363
64,0.326219
65,0.325945
66,0.325867
67,0.325016
68,0.324796
69,0.324378
70,0.324012
71,0.323486
72,0.323195
73,0.323079
74,0.322437
75,0.322234
76,0.321869
77,0.321033
78,0.320941
79,0.320312
80,0.320156
81,0.319456
82,0.319412
83,0.319253
84,0.318895
85,0.318212
86,0.318028
87,0.317985
88,0.316731
89,0.316731
90,0.316251
91,0.31562
92,0.314967
93,0.314789
94,0.314232
95,0.313883
96,0.313672
97,0.312464
98,0.312138
99,0.311932
100,0.310994
101,0.310977
102,0.310615
103,0.310077
104,0.309312
105,0.309139
106,0.307355
107,0.307175
108,0.306998
109,0.306339
110,0.305648
111,0.304799
112,0.303943
113,0.303735
114,0.302744
115,0.302444
116,0.301488
117,0.301155
118,0.30101
119,0.299822
120,0.298945
121,0.29737
122,0.29686
123,0.295821
124,0.295254
125,0.294954
126,0.293739
127,0.293227
128,0.291664
129,0.290538
130,0.289929
131,0.289169
132,0.288519
133,0.286408
134,0.285349
135,0.284786
136,0.28359
137,0.281817
138,0.281018
139,0.280551
140,0.280098
141,0.278314
142,0.275146
143,0.273762
144,0.271797
145,0.27136
146,0.27085
147,0.268804
148,0.267144
149,0.265245
150,0.261762
151,0.260964
152,0.255665
153,0.254435
154,0.250784
155,0.25032
156,0.246864
157,0.245409
158,0.239948
159,0.235997
160,0.235743
161,0.229147
162,0.226219
163,0.224109
164,0.22169
165,0.214226
166,0.211123
167,0.202781
168,0.196001
169,0.183073
170,0.169732
171,0.129658
172,0.045324
173,0
174,0
