,mouse,treatment,experiment,day,cfu
1,1249,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,1,1
2,1250,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,1,1
3,1251,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,1,1
4,1226,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,1,1
5,1227,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,1,1
6,1228,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,1,1
7,1249,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,2,1
8,1250,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,2,1
9,1251,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,2,1
10,1226,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,2,1
11,1227,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,2,1
12,1228,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,2,1
13,1249,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,3,1
14,1250,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,3,1
15,1251,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,3,1
16,1226,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,3,1
17,1227,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,3,1
18,1228,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,3,1
19,1249,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,5,1
20,1250,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_1_012521,5,1
