OTU,logMaxMean,LDA,pValue
Otu00001,4.85277,NA,NA
Otu00002,5.33376,4.74789,0.000858172
Otu00003,5.08512,4.07623,0.0455003
Otu00004,5.17641,NA,NA
Otu00005,4.94383,NA,NA
Otu00006,4.86916,4.34717,0.00766124
Otu00007,4.72986,4.44394,0.00031726
Otu00008,4.7871,4.19363,0.00932238
Otu00009,4.27192,4.01192,0.000285948
Otu00010,4.68047,4.35025,0.00011951
Otu00011,3.70184,3.38848,0.00625616
Otu00012,4.20406,NA,NA
Otu00013,4.27838,3.9001,0.00414998
Otu00014,4.62935,4.30543,0.00031726
Otu00015,4.29135,3.83924,0.0196091
Otu00016,4.434,4.06049,0.000318217
Otu00017,4.12537,3.7654,0.00172505
Otu00018,4.27873,NA,NA
Otu00019,2.50602,NA,NA
Otu00020,4.1482,NA,NA
Otu00021,4.56789,4.08724,0.0455003
Otu00022,4.02108,3.70959,0.000318217
Otu00023,3.73217,3.45359,0.000882921
Otu00024,3.89588,NA,NA
Otu00025,3.94552,3.59619,0.00258569
Otu00026,3.6131,3.17651,0.0450313
Otu00027,3.40421,3.15623,0.000285948
Otu00028,3.46552,NA,NA
Otu00029,3.92157,3.62799,0.000285948
Otu00030,2.24502,NA,NA
Otu00031,3.39553,3.06633,0.00205986
Otu00032,4.57244,4.2603,0.000244841
Otu00033,2.95132,NA,NA
Otu00034,4.05202,3.68562,0.0010346
Otu00035,3.57584,3.27806,0.0385308
Otu00036,4.09242,3.46587,0.0278069
Otu00037,4.07782,3.42075,0.0196357
Otu00038,3.34376,2.95214,0.0164887
Otu00039,3.70576,3.25668,0.0297529
Otu00040,3.66969,3.24316,0.00625876
Otu00041,3.50743,3.16276,0.000285948
Otu00042,2.73481,2.38973,0.00616158
Otu00043,3.40758,3.04694,0.000577083
Otu00044,3.58447,3.26187,0.0151087
Otu00045,2.21959,NA,NA
Otu00046,2.50393,NA,NA
Otu00047,3.75908,3.40612,0.00111441
Otu00048,2.56308,NA,NA
Otu00049,3.8445,3.49177,0.00130969
Otu00050,2.95049,NA,NA
Otu00051,4.04638,3.74933,0.000308743
Otu00052,3.15695,NA,NA
Otu00053,2.44153,NA,NA
Otu00054,3.54257,3.23265,0.00205986
Otu00055,3.69202,NA,NA
Otu00056,3.54647,3.27362,0.000285948
Otu00057,3.58154,NA,NA
Otu00058,2.94586,2.60375,0.00624368
Otu00059,2.96885,NA,NA
Otu00060,3.49539,3.2295,0.000285948
Otu00061,1.36301,NA,NA
Otu00062,2.77042,NA,NA
Otu00063,2.64926,NA,NA
Otu00064,3.19226,2.86822,0.00111152
Otu00065,3.39917,NA,NA
Otu00066,1.59118,NA,NA
Otu00067,1.28253,NA,NA
Otu00068,2.2181,NA,NA
Otu00069,2.78007,2.50035,0.0164887
Otu00070,3.5477,3.01503,0.0195293
Otu00071,2.9891,2.70512,0.000577083
Otu00072,2.96775,2.65459,0.00625616
Otu00073,2.45851,NA,NA
Otu00074,3.18278,2.91735,0.00625616
Otu00075,1.55977,NA,NA
Otu00076,2.64388,2.26421,0.00625616
Otu00077,3.24618,2.97897,0.000298558
Otu00078,3.56452,3.24048,0.0385308
Otu00079,3.45052,2.95942,0.00766124
