group,partition
1219.f.d0,Partition_1
1226.f.d0,Partition_2
1229.f.d0,Partition_1
1230.f.d0,Partition_1
1231.f.d0,Partition_1
1250.f.d0,Partition_2
1251.f.d0,Partition_2
1278.d0,Partition_1
1279.d0,Partition_3
1280.d0,Partition_1
1281.d0,Partition_1
1283.d0,Partition_1
1284.d0,Partition_2
1285.d0,Partition_2
1286.d0,Partition_2
1287.d0,Partition_2
1288.d0,Partition_1
1292.d0,Partition_1
1293.d0,Partition_1
1301.d0,Partition_1
1302.d0,Partition_2
1303.d0,Partition_2
1304.d0,Partition_2
1306.d0,Partition_1
1309.d0,Partition_1
1310.d0,Partition_1
1311.d0,Partition_2
1312.d0,Partition_2
1313.d0,Partition_3
1524.d0,Partition_3
1535.d0,Partition_1
1536.d0,Partition_3
1537.d0,Partition_1
1540.d0,Partition_1
1541.d0,Partition_2
1542.d0,Partition_2
1545.d0,Partition_1
1546.d0,Partition_1
1547.d0,Partition_2
1548.d0,Partition_2
1549.d0,Partition_2
1550.d0,Partition_2
